round,client_id,pid_score,excluded,permanently_excluded
1,client_0,0.007730,False,False
1,client_1,0.012808,False,False
1,client_2,0.015324,False,False
1,client_3,0.006959,False,False
1,client_4,0.006965,False,False
1,client_5,0.007548,False,False
1,client_6,0.012048,False,False
1,client_7,0.007427,False,False
1,client_8,0.006957,False,False
1,client_9,0.015212,False,False
1,client_10,0.007054,False,False
1,client_11,0.011896,False,False
1,client_12,0.011868,False,False
1,client_13,0.011735,False,False
1,client_14,0.006929,False,False
1,client_15,0.006974,False,False
1,client_16,0.014055,False,False
1,client_17,0.011799,False,False
1,client_18,0.007116,False,False
1,client_19,0.013911,False,False
2,client_0,0.016656,False,False
2,client_1,0.007721,False,False
2,client_2,-0.011943,False,False
2,client_3,0.000727,False,False
2,client_4,0.000365,False,False
2,client_5,-0.000295,False,False
2,client_6,-0.005709,False,False
2,client_7,0.001142,False,False
2,client_8,0.003287,False,False
2,client_9,0.011263,False,False
2,client_10,0.022829,False,False
2,client_11,0.009094,False,False
2,client_12,0.009092,False,False
2,client_13,0.009461,False,False
2,client_14,0.016461,False,False
2,client_15,0.001112,False,False
2,client_16,-0.010063,False,False
2,client_17,0.015295,False,False
2,client_18,0.000841,False,False
2,client_19,0.011549,False,False
3,client_0,0.012491,False,False
3,client_1,0.011220,False,False
3,client_2,0.005176,False,False
3,client_3,0.010170,False,False
3,client_4,0.005016,False,False
3,client_5,0.004869,False,False
3,client_6,0.004640,False,False
3,client_7,0.005175,False,False
3,client_8,0.026255,False,False
3,client_9,-0.007577,False,False
3,client_10,0.014411,False,False
3,client_11,0.011331,False,False
3,client_12,0.011523,False,False
3,client_13,0.011214,False,False
3,client_14,-0.003755,False,False
3,client_15,0.020419,False,False
3,client_16,0.005740,False,False
3,client_17,0.013397,False,False
3,client_18,0.005049,False,False
3,client_19,0.013951,False,False
4,client_0,0.014756,False,False
4,client_1,0.011752,False,False
4,client_2,0.005345,False,False
4,client_3,0.003078,False,False
4,client_4,0.012196,False,False
4,client_5,0.005386,False,False
4,client_6,0.006081,False,False
4,client_7,0.005192,False,False
4,client_8,-0.008002,False,False
4,client_9,0.028799,False,False
4,client_10,0.015541,False,False
4,client_11,0.011644,False,False
4,client_12,0.011820,False,False
4,client_13,0.017240,False,False
4,client_14,0.020736,False,False
4,client_15,0.011544,False,False
4,client_16,0.004589,False,False
4,client_17,-0.006013,False,False
4,client_18,0.005116,False,False
4,client_19,0.013940,False,False
5,client_0,0.013456,False,False
5,client_1,0.012152,False,False
5,client_2,0.006144,False,False
5,client_3,0.005671,False,False
5,client_4,0.002024,False,False
5,client_5,0.006009,False,False
5,client_6,0.015904,False,False
5,client_7,0.005631,False,False
5,client_8,0.031170,False,False
5,client_9,0.016349,False,False
5,client_10,-0.006737,False,False
5,client_11,0.012193,False,False
5,client_12,0.012145,False,False
5,client_13,0.008879,False,False
5,client_14,-0.001926,False,False
5,client_15,-0.002490,False,False
5,client_16,0.026380,False,False
5,client_17,0.020907,False,False
5,client_18,0.006317,False,False
5,client_19,0.014598,False,False
6,client_0,0.016104,False,False
6,client_1,0.012447,False,False
6,client_2,0.005636,False,False
6,client_3,0.005803,False,False
6,client_4,0.005997,False,False
6,client_5,0.017933,False,False
6,client_6,-0.000652,False,False
6,client_7,0.005724,False,False
6,client_8,-0.008505,False,False
6,client_9,0.016511,False,False
6,client_10,0.030843,False,False
6,client_11,0.012415,False,False
6,client_12,0.012176,False,False
6,client_13,-0.002469,False,False
6,client_14,0.020281,False,False
6,client_15,0.020676,False,False
6,client_16,0.014284,False,False
6,client_17,-0.002588,False,False
6,client_18,0.025829,False,False
6,client_19,-0.005896,False,False
7,client_0,0.016217,False,False
7,client_1,0.012628,False,False
7,client_2,0.006051,False,False
7,client_3,0.005960,False,False
7,client_4,0.005765,False,False
7,client_5,-0.001009,False,False
7,client_6,0.006062,False,False
7,client_7,0.016796,False,False
7,client_8,0.006458,False,False
7,client_9,0.016297,False,False
7,client_10,0.016773,False,False
7,client_11,0.012645,False,False
7,client_12,0.012644,False,False
